,artiId,artiNombre
511,200,Ulluco
540,145,Piña manzana
548,175,Papa suprema
554,209,Cuchuco de maíz
593,298,Almejas con concha
605,275,"Carne de cerdo, espinazo"
610,293,Pollo entero congelado sin vísceras
612,213,Fríjol calima
614,306,Bocachico importado congelado
617,331,Tilapia roja entera congelada
626,318,"Merluza, filete importado"
633,329,Sierra entera congelada
634,522,Queso Caquetá
644,300,Bagre rayado entero congelado
651,520,Pargo rojo entero congelado
654,311,Camarón tigre precocido seco
655,308,Calamar anillos
659,328,"Salmón, filete congelado"
660,316,Langostino 16-20
751,299,Almejas sin concha
762,315,"Corvina, filete congelado nacional"
764,317,Langostino U12
778,191,Yuca chirosa
786,46,Tomate chonto regional
791,79,Limón común valluno
802,88,Aguacate común
846,325,Pargo rojo platero
878,230,Maíz blanco retrillado
913,49,Tomate riñón
930,220,Fríjol Uribe rosado
978,32,Cebolla junca pastusa
1174,327,"Róbalo, filete congelado"
1193,56,Zanahoria larga vida
1205,559,Maíz amarillo cáscara importado
1208,192,Yuca criolla
1213,180,Plátano comino
1216,229,Maíz blanco cáscara
1218,184,Plátano dominico verde
1237,6021,Guayaba pera valluna
1240,303,Panela redonda blanca
1243,129,Maracuyá antioqueño
1247,486,Plátano hartón verde Eje Cafetero
1252,58,Ají topito dulce
1260,114,Higo
1269,343,Panela cuadrada blanca
1283,96,Breva
1285,521,Pimentón verde
1296,219,Fríjol radical
1301,206,Arveja enlatada
1302,6101,Aceite de palma
1308,330,"Tilapia, lomitos"
1316,214,Fríjol cargamanto blanco
1325,216,Fríjol enlatado
1329,338,Aceite girasol
1333,232,Maíz enlatado
1359,356,Chocolate instantáneo
1372,302,Bagre rayado en postas congelado
1533,168,Papa Puracé
1545,75,Remolacha regional
1617,85,Naranja común
1621,83,Mandarina común
1677,27,Cebolla cabezona roja peruana
1678,52,Tomate Riogrande bumangués
1691,31,Cebolla junca Berlín
1692,203,Arroz excelso
1698,212,Fríjol cabeza negra nacional
1702,218,Fríjol palomito importado
1709,221,Fríjol Zaragoza
1714,364,Jugo de frutas
1715,367,Mostaza doy pack
1754,109,Guayaba Atlántico
1768,110,Guayaba común
1786,132,Maracuyá valluno
1789,44,Habichuela larga
1791,211,Fríjol cabeza negra importado
1798,119,Mango de azúcar
1799,77,Limón común Ciénaga
1805,35,Cebollín chino
1813,320,Mojarra lora entera fresca
1820,321,Mojarra lora entera congelada
1830,270,"Carne de cerdo, brazo con hueso"
1834,276,"Carne de cerdo, lomo con hueso"
1904,259,"Carne de res, lomo de brazo"
1926,6013,Panela en pastilla
1939,558,Arroz blanco empacado
1940,557,Harina de arroz
1941,553,Arroz paddy verde
1942,556,Arroz granza
1943,561,Arroz blanco en bulto
1951,555,Arroz cristal
2135,164,Papa Morasurco
2136,5200,Papa Betina
2140,171,Papa roja peruana
2159,51,Tomate Riogrande
2282,131,Maracuyá santandereano
2321,312,Camarón tití precocido seco
2332,163,Papa ICA-Huila
2451,130,Maracuyá huilense
2507,22,Cebolla cabezona blanca pastusa
2534,319,"Merluza, filete nacional"
2640,280,"Carne de cerdo, tocineta plancha"
2776,241,Huevo blanco B
